ACC Extra
A&E
ABC News
Adult Swim
AE
A+E
AETV
Alien Nation
AMC
American Heroes
Animal Planet
BBC America
BBC News
BET
Big Ten Network
Bravo
Cartoon Network
CBS News
Cheddar News
CMT
CNBC
CNN
Comedy Central
Cooking Channel
Court TV
cox_legacy_section_live
cox_watermark_c2_section_live
Crackle
CW TV
Destination America
Discovery Channel
Discovery en Espanol
Discovery Family
Discovery Familia
Discovery Life
Discovery OWN
Discovery Plus
DIY Network
E!
ESPN
ESPN 2
ESPN 3
ESPN ACC
ESPN Fallback
ESPN News
ESPN SEC
ESPN SEC Plus
ESPN University
ET Live
First TV
Food Network
Fox Business
Fox Networks
Fox News
Fox Sports
Freeform
FX
FXM
FXX
Golf Channel
GSN
Hallmark Channel
Hallmark Drama
Hallmark Movies
HGTV
History
HLN
Investigation Discovery
Lifetime
LOGO
Longhorn
MLB Network
Motor Trend
MotorTrend
MSNBC
MTV
National Geographic
National Geographic Wild
NBC News
NFL
NHL
Nick At Nite
OWN
Oxygen
Ovation TV
Pac-12
Paramount
Science
Scripps News
Sony Cine
SyFy
TBS
TLC
TNT
Travel Channel
truTV
TV Land
TV One
Universo
Univision
USA
Velocity
VH1
Viceland
WE
Xumo
